action_taken,loan_amount,loan_to_value_ratio,property_value,income,debt_to_income_ratio,applicant_age,name
1,205000.0,90.0,235000,45000.0,48.0,39.5,Andrew
1,95000.0,96.93,95000,50000.0,36.0,29.5,George
1,365000.0,97.0,375000,172000.0,41.0,39.5,Deborah
0,325000.0,97.0,335000,130000.0,33.0,24.0,John
1,345000.0,100.521,355000,82000.0,49.0,29.5,Jason
0,255000.0,90.0,285000,15000.0,60.0,49.5,Jessica
1,355000.0,80.0,435000,90000.0,37.0,59.5,Justin
0,235000.0,95.0,255000,37000.0,60.0,39.5,Jonathan
0,305000.0,105.509,285000,82000.0,40.0,39.5,Patrick
0,405000.0,97.0,415000,144000.0,33.0,29.5,Justin
0,215000.0,85.0,255000,66000.0,47.0,49.5,Andrew
1,285000.0,100.0,295000,130000.0,33.0,49.5,Dennis
0,495000.0,99.091,495000,167000.0,45.0,49.5,Dorothy
0,225000.0,95.0,235000,62000.0,42.0,59.5,Steven
1,255000.0,92.727,275000,177000.0,41.0,29.5,Alexander
0,465000.0,92.079,505000,0.0,20.0,49.5,Donna
0,265000.0,95.0,275000,115000.0,40.0,39.5,Linda
0,115000.0,95.0,115000,115000.0,39.0,49.5,George
0,465000.0,95.0,495000,203000.0,47.0,29.5,Emma
1,245000.0,90.0,275000,50000.0,46.0,49.5,Charles
0,275000.0,101.75,275000,66000.0,60.0,39.5,George
1,265000.0,97.0,265000,68000.0,46.0,39.5,Richard
0,195000.0,95.0,205000,140000.0,20.0,39.5,Jonathan
0,265000.0,101.75,265000,61000.0,55.0,39.5,Melissa
0,155000.0,80.0,195000,55000.0,44.0,39.5,Kimberly
1,375000.0,75.0,505000,160000.0,42.0,49.5,Daniel
0,565000.0,97.0,575000,151000.0,40.0,39.5,Jeffrey
0,585000.0,95.0,625000,85000.0,60.0,49.5,Eric
0,305000.0,80.0,385000,34000.0,60.0,59.5,Jack
0,515000.0,85.0,575000,134000.0,48.0,49.5,Carol
1,175000.0,95.0,185000,56000.0,41.0,29.5,Thomas
1,535000.0,80.0,675000,137000.0,46.0,39.5,Katherine
1,195000.0,97.0,205000,75000.0,33.0,69.5,Gary
0,265000.0,97.0,275000,77000.0,43.0,29.5,Stephen
1,555000.0,93.814,595000,243000.0,25.0,39.5,Elizabeth
1,445000.0,95.0,475000,204000.0,47.0,29.5,Ashley
1,425000.0,95.0,455000,150000.0,33.0,29.5,Scott
0,145000.0,77.839,185000,40000.0,44.0,69.5,Katherine
0,275000.0,101.75,275000,37000.0,60.0,39.5,Carol
0,185000.0,85.0,225000,72000.0,55.0,29.5,Benjamin
0,255000.0,97.0,265000,72000.0,41.0,24.0,Frank
0,285000.0,100.0,295000,80000.0,42.0,24.0,Joshua
1,265000.0,90.0,295000,115000.0,25.0,29.5,Rachel
0,285000.0,97.0,295000,89000.0,36.0,49.5,Mark
0,315000.0,96.96,325000,79000.0,60.0,69.5,Lisa
1,255000.0,97.0,265000,58000.0,46.0,39.5,Jonathan
0,235000.0,95.0,245000,52000.0,42.0,59.5,Amy
0,125000.0,101.23,125000,52000.0,47.0,24.0,Susan
0,555000.0,94.99,585000,91000.0,55.0,39.5,Ayinde
0,225000.0,97.0,235000,27000.0,60.0,24.0,Tameka
0,315000.0,100.0,325000,81000.0,38.0,29.5,Rotimi
1,225000.0,80.0,275000,50000.0,40.0,59.5,Jamal
1,305000.0,90.0,335000,87000.0,47.0,49.5,Lanre
1,325000.0,97.0,345000,70000.0,48.0,24.0,Seun
1,365000.0,95.0,385000,94000.0,48.0,49.5,Seun
0,265000.0,80.0,335000,44000.0,55.0,39.5,Tolu
1,295000.0,96.95,305000,84000.0,49.0,24.0,Malika
1,335000.0,98.96,335000,75000.0,40.0,29.5,Olamide
1,265000.0,95.0,275000,63000.0,44.0,69.5,Daquan
1,345000.0,97.0,365000,107000.0,37.0,29.5,Seun
0,145000.0,90.0,165000,75000.0,33.0,39.5,Akin
1,175000.0,95.0,185000,53000.0,46.0,49.5,Sekou
0,245000.0,92.0,265000,56000.0,55.0,39.5,Chike
1,175000.0,97.0,185000,71000.0,33.0,29.5,Oba
0,285000.0,96.61,295000,84000.0,40.0,39.5,Tanisha
0,315000.0,97.0,325000,45000.0,60.0,29.5,DeShawn
1,385000.0,95.0,405000,113000.0,44.0,29.5,Nia
1,175000.0,95.0,175000,117000.0,25.0,49.5,Ebony
0,205000.0,97.0,255000,89000.0,46.0,29.5,Maya
0,145000.0,80.0,185000,35000.0,47.0,39.5,Tolu
1,305000.0,88.0,355000,63000.0,49.0,29.5,Abiola
1,435000.0,95.0,465000,209000.0,45.0,49.5,Malika
0,645000.0,95.0,675000,0.0,20.0,49.5,Chinyere
1,345000.0,95.0,355000,132000.0,37.0,29.5,Oba
1,115000.0,80.0,145000,70000.0,42.0,59.5,Aaliyah
0,235000.0,95.0,205000,170000.0,43.0,39.5,Ifeanyi
1,185000.0,100.0,185000,74000.0,33.0,29.5,Chimamanda
0,85000.0,95.0,95000,51000.0,33.0,69.5,Temitope
1,375000.0,95.0,395000,155000.0,33.0,39.5,Oba
1,245000.0,95.0,255000,77000.0,40.0,29.5,Akin
0,485000.0,101.75,475000,109000.0,60.0,49.5,Latoya
1,185000.0,97.0,195000,70000.0,25.0,39.5,Akin
0,505000.0,95.0,525000,130000.0,55.0,49.5,Lanre
1,245000.0,97.0,255000,81000.0,46.0,29.5,Jalen
0,485000.0,97.0,495000,170000.0,38.0,29.5,Chukwuemeka
0,235000.0,95.0,255000,62000.0,55.0,39.5,Tanisha
1,385000.0,95.0,405000,145000.0,41.0,39.5,Anika
1,275000.0,91.0,305000,63000.0,48.0,39.5,Maya
1,415000.0,95.0,435000,204000.0,33.0,39.5,Onyeka
1,405000.0,85.0,475000,217000.0,25.0,39.5,Shavon
1,275000.0,95.0,285000,113000.0,33.0,49.5,Daquan
0,245000.0,80.0,305000,0.0,20.0,29.5,Donnell
1,395000.0,80.0,495000,176000.0,44.0,49.5,Afia
1,255000.0,97.0,255000,82000.0,36.0,29.5,Chinyere
0,205000.0,100.0,205000,85000.0,46.0,49.5,Tanisha
1,205000.0,80.0,255000,41000.0,47.0,49.5,Precious
0,425000.0,95.0,455000,79000.0,60.0,29.5,Duro
1,345000.0,70.184,485000,102000.0,33.0,39.5,Shanice
1,385000.0,99.5,395000,80000.0,48.0,39.5,Chinyere
1,365000.0,97.0,375000,78000.0,45.0,29.5,Diamond
1,205000.0,90.0,235000,45000.0,48.0,39.5,Kwabena
1,95000.0,96.93,95000,50000.0,36.0,29.5,Shayla
1,365000.0,97.0,375000,172000.0,41.0,39.5,Maya
0,325000.0,97.0,335000,130000.0,33.0,24.0,Tolu
1,345000.0,100.521,355000,82000.0,49.0,29.5,Shaniqua
0,255000.0,90.0,285000,15000.0,60.0,49.5,Akin
1,355000.0,80.0,435000,90000.0,37.0,59.5,Chike
0,235000.0,95.0,255000,37000.0,60.0,39.5,Seun
0,305000.0,105.509,285000,82000.0,40.0,39.5,Afia
0,405000.0,97.0,415000,144000.0,33.0,29.5,Tolu
0,215000.0,85.0,255000,66000.0,47.0,49.5,Donnell
1,285000.0,100.0,295000,130000.0,33.0,49.5,Donnell
0,495000.0,99.091,495000,167000.0,45.0,49.5,Octavia
0,225000.0,95.0,235000,62000.0,42.0,59.5,Bisi
1,255000.0,92.727,275000,177000.0,41.0,29.5,Khadijah
0,465000.0,92.079,505000,0.0,20.0,49.5,Keisha
0,265000.0,95.0,275000,115000.0,40.0,39.5,Tyrell
0,115000.0,95.0,115000,115000.0,39.0,49.5,Tyrone
0,465000.0,95.0,495000,203000.0,47.0,29.5,Darnell
1,245000.0,90.0,275000,50000.0,46.0,49.5,Latoya
0,275000.0,101.75,275000,66000.0,60.0,39.5,Olu
1,265000.0,97.0,265000,68000.0,46.0,39.5,Funmi
0,195000.0,95.0,205000,140000.0,20.0,39.5,Kehinde
0,265000.0,101.75,265000,61000.0,55.0,39.5,Amari
0,155000.0,80.0,195000,55000.0,44.0,39.5,Bola
1,375000.0,75.0,505000,160000.0,42.0,49.5,Keisha
0,565000.0,97.0,575000,151000.0,40.0,39.5,Kojo
0,585000.0,95.0,625000,85000.0,60.0,49.5,Chike
0,305000.0,80.0,385000,34000.0,60.0,59.5,Okon
0,515000.0,85.0,575000,134000.0,48.0,49.5,Lamar
1,175000.0,95.0,185000,56000.0,41.0,29.5,Ayodele
1,535000.0,80.0,675000,137000.0,46.0,39.5,Kehinde
1,195000.0,97.0,205000,75000.0,33.0,69.5,Ayodele
0,265000.0,97.0,275000,77000.0,43.0,29.5,Kofi
1,555000.0,93.814,595000,243000.0,25.0,39.5,Keisha
1,445000.0,95.0,475000,204000.0,47.0,29.5,Imani
1,425000.0,95.0,455000,150000.0,33.0,29.5,Precious
0,145000.0,77.839,185000,40000.0,44.0,69.5,Jalen
0,275000.0,101.75,275000,37000.0,60.0,39.5,Femi
0,185000.0,85.0,225000,72000.0,55.0,29.5,Temitope
0,255000.0,97.0,265000,72000.0,41.0,24.0,Chukwuemeka
0,285000.0,100.0,295000,80000.0,42.0,24.0,Jahlil
1,265000.0,90.0,295000,115000.0,25.0,29.5,Nnamdi
0,285000.0,97.0,295000,89000.0,36.0,49.5,Malik
0,315000.0,96.96,325000,79000.0,60.0,69.5,Anika
1,255000.0,97.0,265000,58000.0,46.0,39.5,Ebony
0,235000.0,95.0,245000,52000.0,42.0,59.5,Tyrell
0,125000.0,101.23,125000,52000.0,47.0,24.0,Amaka
